Company Name,Transaction Name URL,City,State,Country,Region,Organization_Industries,Organization_Name_URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency in USD,Announced Date
G2Q Computing,https://www.crunchbase.com/funding_round/g2q-computing-pre-seed--75c88f63,Milan,Lombardia,Italy,Europe,"Information Technology, Software",https://www.crunchbase.com/organization/g2q-computing,Pre-Seed,120000,USD,120000,2/19/2024
Voovo,https://www.crunchbase.com/funding_round/voovo-0aa4-pre-seed--dcba8cf4,Dublin,Dublin,Ireland,Europe,"Apps, EdTech, Mobile Apps",https://www.crunchbase.com/organization/voovo-0aa4,Pre-Seed,120000,USD,120000,2/19/2024
dub,https://www.crunchbase.com/funding_round/dub-9562-seed--438b9c12,New York,New York,United States,North America,"Financial Services, Mobile Apps, Trading Platform",https://www.crunchbase.com/organization/dub-9562,Seed,15000000,USD,15000000,2/22/2024
Bench IQ,https://www.crunchbase.com/funding_round/bench-iq-pre-seed--8b88fecf,Toronto,Ontario,Canada,North America,"Artificial Intelligence (AI), Internet, Software",https://www.crunchbase.com/organization/bench-iq,Pre-Seed,2800000,CAD,2063597,2/29/2024
Inco,https://www.crunchbase.com/funding_round/inco-5e14-seed--39f51e00,Manhattan,New York,United States,North America,"Apps, Gaming, Mobile Apps",https://www.crunchbase.com/organization/inco-5e14,Seed,4500000,USD,4500000,2/21/2024
Superform Labs,https://www.crunchbase.com/funding_round/superform-labs-seed--f45fe564,Miami,Florida,United States,North America,"Blockchain, Cryptocurrency, Service Industry",https://www.crunchbase.com/organization/superform-labs,Seed,6500000,USD,6500000,2/8/2024
Collecto App,https://www.crunchbase.com/funding_round/collecto-app-pre-seed--d6876d4c,Milano,Lombardia,Italy,Europe,"Apps, Sustainability",https://www.crunchbase.com/organization/collecto-app,Pre-Seed,750000,EUR,805590,2/5/2024
Nibiru Chain,https://www.crunchbase.com/funding_round/nibiru-seed--cb946e65,Grand Cayman,Midland,Cayman Islands,North America,"Blockchain, Cryptocurrency, Financial Exchanges, Information Technology, Software",https://www.crunchbase.com/organization/nibiru,Seed,12000000,USD,12000000,2/1/2024
Bioptimus,https://www.crunchbase.com/funding_round/bioptimus-seed--17761233,Paris,Ile-de-France,France,Europe,"Artificial Intelligence (AI), Biotechnology, Generative AI",https://www.crunchbase.com/organization/bioptimus,Seed,35000000,USD,35000000,2/20/2024
Shuffle,https://www.crunchbase.com/funding_round/shuffle-7f37-seed--b79f10cf,Willemstad,Noord-Brabant,The Netherlands,Europe,"Cryptocurrency, Information Technology, Web3",https://www.crunchbase.com/organization/shuffle-7f37,Seed,2500000,USD,2500000,2/25/2024
Lava Network,https://www.crunchbase.com/funding_round/lava-network-seed--c80d51ee,ReykjavÃ­k,Gullbringusysla,Iceland,Europe,"Blockchain, Communications Infrastructure, Cryptocurrency, Information Technology, Web3",https://www.crunchbase.com/organization/lava-network,Seed,15000000,USD,15000000,2/15/2024
